## created: 2023-02-09T13:16:56.531058
## script: /mnt/mnemo6/qingyao/paxDB/data-pipeline/src/update_api_inputs/create_taxonomy_tree.py
410072	1239	Coprococcus comes	firmicutes
880073	2	Caldithrix abyssi DSM 13497	bacteria
411470	1239	Ruminococcus gnavus ATCC 29149	firmicutes
35128	2759	Thalassiosira pseudonana	eukaryota
226186	68336	Bacteroides thetaiotaomicron VPI-5482	bacteroidetes/chlorobi group
99287	1236	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	gammaproteobacteria
9598	9443	Pan troglodytes	primates
186497	183968	Pyrococcus furiosus DSM 3638	thermococci
187420	28890	Methanothermobacter thermautotrophicus str. Delta H	euryarchaeota
349741	2	Akkermansia muciniphila ATCC BAA-835	bacteria
68525	1224	delta/epsilon subdivisions	proteobacteria
208964	1236	Pseudomonas aeruginosa PAO1	gammaproteobacteria
260799	1239	Bacillus anthracis str. Sterne	firmicutes
33154	2759	Opisthokonta	eukaryota
39947	4447	Oryza sativa Japonica Group	liliopsida
243275	203691	Treponema denticola ATCC 35405	spirochaetes
449447	1117	Microcystis aeruginosa NIES-843	cyanobacteria
5141	4751	Neurospora crassa	fungi
10090	9989	Mus musculus	rodentia
1198114	2	Granulicella tundricola MP5ACTX9	bacteria
523841	28890	Haloferax mediterranei ATCC 33500	euryarchaeota
1435377	2157	Sulfolobus acidocaldarius SUSAZ	archaea
122586	1224	Neisseria meningitidis MC58	proteobacteria
9612	40674	Canis lupus	mammalia
469381	2	Dethiosulfovibrio peptidovorans DSM 11002	bacteria
74426	201174	Collinsella aerofaciens	actinobacteria
7227	7147	Drosophila melanogaster	diptera
373153	1239	Streptococcus pneumoniae D39	firmicutes
657321	1239	Ruminococcus bromii L2-63	firmicutes
10116	9989	Rattus norvegicus	rodentia
435591	68336	Parabacteroides distasonis ATCC 8503	bacteroidetes/chlorobi group
5507	4751	Fusarium oxysporum	fungi
667014	200940	Thermodesulfatator indicus DSM 15286	thermodesulfobacteria
3055	2759	Chlamydomonas reinhardtii	eukaryota
610130	1239	[Clostridium] saccharolyticum WM1	firmicutes
243159	1236	Acidithiobacillus ferrooxidans ATCC 23270	gammaproteobacteria
169963	1239	Listeria monocytogenes EGD-e	firmicutes
8030	7711	Salmo salar	chordata
7165	7147	Anopheles gambiae	diptera
665571	203691	Spirochaeta thermophila DSM 6192	spirochaetes
309800	28890	Haloferax volcanii DS2	euryarchaeota
547559	28890	Natrialba magadii ATCC 43099	euryarchaeota
411460	1239	Ruminococcus torques ATCC 27756	firmicutes
91561	40674	Cetartiodactyla	mammalia
100226	201174	Streptomyces coelicolor A3(2)	actinobacteria
353153	5653	Trypanosoma cruzi strain CL Brener	kinetoplastida
1280	1239	Staphylococcus aureus	firmicutes
211586	1236	Shewanella oneidensis MR-1	gammaproteobacteria
272620	1236	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	gammaproteobacteria
183968	28890	Thermococci	euryarchaeota
243232	28890	Methanocaldococcus jannaschii DSM 2661	euryarchaeota
4896	4751	Schizosaccharomyces pombe	fungi
1680	201174	Bifidobacterium adolescentis	actinobacteria
4081	35493	Solanum lycopersicum	streptophyta
1224	2	Proteobacteria	bacteria
9989	40674	Rodentia	mammalia
479436	1239	Veillonella parvula DSM 2008	firmicutes
9823	91561	Sus scrofa	cetartiodactyla
284590	4891	Kluyveromyces lactis NRRL Y-1140	saccharomycetes
83332	201174	Mycobacterium tuberculosis H37Rv	actinobacteria
